OFFSPRING_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek,,FATHER_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek,,MOTHER_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek
9638,gew,2008,m,428,136,,42,55,"c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9639,gev,2008,f,398,102,,46,46,"c mouth,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9640,get,2008,f,419,104,,40,40,"c mouth,c,c,c beach",C,,3138,yme,2004,m,406,117,,44,47,"c,c,c",C,,2667,wsa,2004,f,444,106,sen,34,41,"c,c,c,c,c,c",C
9641,ges,2008,f,403,100,,40,54,"c mouth,c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,2178,yjn,2004,m,440,132,bk,33,49,"c,c,c,c,c,c,c,c,c,c,c",C,,2162,ykc,2004,f,415,97,bk,33,49,"c,c,c,c,c,c,c,c,c,c mouth",C
9642,geo,2008,m,401,133,,38,44,"c,c,c,c,c,c,c",C,,2205,bgl,2004,m,437,119,,37,47,"c,c mouth,c,c,c",C,,3152,ymy,2004,f,412,98,bk,44,49,"c,c",C
9644,gen,2008,f,429,110,bk,38,48,"c,c,c,c,c,c,c,c,c,c",C,,2669,wsc,2004,m,419,131,bk,33,40,"c,c,c,c,c,c,c,c",C,,2667,wsa,2004,f,444,106,sen,34,41,"c,c,c,c,c,c",C
9645,gem,2008,f,405,83,bk,38,49,"c,c,c,c,c,c,c,c,c,c,c,c",C,,2601,wlt,2004,m,419,116,bk,33,41,"c,c,c,c,c,c,c,c",C,,,,,,,,,,,,
9646,gel,2008,f,396,104,sen,38,56,"c,c,c,c,c,c,c,c,c,c,c,c,c",C,,2710,wvd,2004,m,415,128,bk,34,49,"c,c,c,c,c,c,c,c,c",C,,2423,beb,2004,f,423,104,,36,50,"c,c,c,c,c,c,c",C
9647,yto,2008,f,403,99,sen,45,59,"a mouth,c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,,,,,,,,,,,,,2416,bdt,2004,f,383,107,sen,35,51,"c,c,c,c,c,c,c,c,c,c,c,c,c,c",C
9649,ytm,2008,f,492,135,,44,44,"a mouth,a",A,,,,,,,,,,,,,,,,,,,,,,,,
9650,ytl,2008,m,478,152,sen,40,47,"a mouth,a,a,a,a,a,a,a beach",A,,,,,,,,,,,,,,,,,,,,,,,,
9652,ytj,2008,m,402,101,,41,49,"a mouth,a mouth,a,a,a",A,,2781,wzs,2004,m,401,100,bk,35,37,"a,a,c,a",A,,2793,wwh,2004,f,438,104,bk,35,44,"a,a,a mouth,a,a",A
9653,yth,2008,m,414,124,,53,54,"a mouth,a mouth,a mouth,a,a",A,,3467,yxk,2004,m,409,117,,56,56,a,A,,3354,yvj,2004,f,399,103,bk,51,55,"a,a,a,a,a",A
9655,ytd,2008,m,478,169,,46,46,"a mouth,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9660,yvy,2008,f,397,98,bk,47,49,"a mouth,c mouth,c mouth,c,c,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9663,yvv,2008,m,482,144,,40,47,"a mouth,a,a,a,a,a,a,a,a",A,,,,,,,,,,,,,,,,,,,,,,,,
9671,yvk,2008,m,392,118,,44,59,"a mouth,a mouth,a mouth,a,a,a mouth,a mouth,a,a,a,a,a,a,a,a,a",A,,3281,wdj,2004,m,408,120,bk,47,48,"a,a",A,,3282,wdk,2004,f,405,106,bk,47,48,"a,a",A
9677,yvb,2008,f,471,117,sen,40,45,"a mouth,a,a,a,a,a,a",A,,,,,,,,,,,,,,,,,,,,,,,,
9682,yww,2008,m,447,145,bk,53,55,"a mouth,a mouth,a mouth,a,a,a",A,,3122,bsk,2004,m,405,115,bk,44,48,"a,a,a,a",A,,3128,bst,2004,f,384,100,bk,44,48,"a,a,a",A
